name,category,subcategory1,subcategory2,subcategory3
Paradise Travel Management,hotels & travel,travel services,travel agents,
Midway Mobile Home & RV Park,hotels & travel,rv parks,,
Dos Casitas En Socorro Bed And Breakfast,hotels & travel,bed & breakfast,,
Best Western Socorro Hotel And Suites,hotels & travel,hotels,,
Comfort Inn & Suites,hotels & travel,hotels,,
Super 8 by Wyndham Socorro,hotels & travel,hotels,,
Holiday Inn Express Socorro,hotels & travel,hotels,,
America's Best Value Inn,hotels & travel,hotels,,
San Miguel Inn,hotels & travel,hotels,,
Econo Lodge Inn & Suites,hotels & travel,hotels,,
Days Inn by Wyndham Socorro,hotels & travel,hotels,,
Economy Inn,hotels & travel,hotels,,
Socorro Airport (ONM),hotels & travel,airports,,
St Paul United Methodist Church,religious organizations,churches,,
Socorro Seventh-Day Adventist,religious organizations,churches,,
Epiphany Episcopal Church,religious organizations,churches,,
Church of Jesus Christ of Latter-day Saints,religious organizations,churches,,
Socorro Church of Christ,religious organizations,churches,,
San Miguel Church,religious organizations,churches,,
First Presbytarian Church,religious organizations,churches,,
First Baptist Church,religious organizations,churches,,
Calvary Chapel,religious organizations,churches,,
Socorro Baptist Temple,religious organizations,churches,,
Family Christian Center,religious organizations,,,
Shell,automotive,gas stations,,
Circle K,automotive,gas stations,,
A-X Conoco,automotive,gas stations,,
Valero,automotive,gas stations,,
Exxon,automotive,gas stations,,
Alon,automotive,gas stations,,
U-haul Neighborhood Dealer,automotive,truck rental,trailer rental,
Goehrings Body Shop,automotive,body shop,,
Quick & Easy Tire & Lube,automotive,auto repair,,
Leseberg's Auto,automotive,car dealers,,
Hicks Body Shop & Towing,automotive,body shop,,
C Bar D Trailer Sales & Services,automotive,auto detailing,,
AutoZone,automotive,auto parts,,
Socorro Soccer and Rodeo Complex,arts & entertainment,rodeo,,
Socorro General Hospital,health & medical,hospitals,,
La Vida Felicidad,health & medical,home health care,,
Socorro Physical Therapy,health & medical,physical therapy,,
"C. Bonner Oats, DDS",health & medical,dentists,,
"Duane H. Beers, DND, PC",health & medical,dentists,,
PHI Air Medical,health & medical,,,
PMS - Socorro Mental Health,health & medical,counseling & mental health,,
Presbyterian Medical Services/ Socorro Community Health Center,health & medical,counseling & mental health,,
Mi Jacalito,food,food trucks,,
M Mountain Coffee,food,coffee & tea,,
Sweet Occasions,food,bakeries,,
John Brooks Supermarket,food,grocery,,
Socorro Farmers Market,food,farmers market,,
Capitol Bar,nightlife,bars,,
El Camino Restaurant & Lounge,nightlife,lounges,,
Bureau of Land Management,public services & government,,,
Socorro County Historical Society,public services & government,landmarks & historical buildings,,
Socorro Historic Plaza,public services & government,landmarks & historical buildings,,
San Miguel Church,public services & government,landmarks & historical buildings,,
Sedillo Park,public services & government,parks,,
Clark Field,public services & government,parks,,
Hammel Museum,public services & government,museums,,
NMT Campus Police,public services & government,police departments,,
United States Post office,public services & government,post offices,,
Division of Vocational Rehabilitaiton (DVR),public services & government,,,
El Camino Real Housing Authority,public services & government,,,
San Miguel Cemetery,local services,cemeteries,,
Good Samaritan Village,local services,community service/non-profit,,
UPS Customer Center,local services,shipping centers,,
NM State Forestry Department,local services,forestry,,
Socorro Animal Control,local services,pest control,,
Milton Ulibarri Pest Management,local services,pest control,,
Daniels Family Funeral Service,local services,funeral services & cemeteries,,
